severity,method,block,mean_gap,std_gap,num_seeds,ci95,first_round,last_round,x
extreme,adaptive_probdpp,0,1.09488465319908,0.16408454375802362,30,0.05871689989008585,1,10,5.5
extreme,adaptive_probdpp,1,0.7712522676286895,0.20589830127279718,30,0.0736797608506157,11,20,15.5
extreme,adaptive_probdpp,2,0.7690460876722861,0.14465711621936986,30,0.05176488422923693,21,30,25.5
extreme,adaptive_probdpp,3,0.5503309351487722,0.12595254132669112,30,0.04507153806569052,31,40,35.5
extreme,adaptive_probdpp,4,0.4785675702441929,0.11300279606952184,30,0.04043753123937638,41,50,45.5
extreme,adaptive_probdpp,5,0.4697859761175599,0.13347570323385988,30,0.047763666979499526,51,60,55.5
extreme,adaptive_probdpp,6,0.29298871504570123,0.1173079034543479,30,0.0419780941317819,61,70,65.5
extreme,adaptive_probdpp,7,0.3228102902273502,0.11718766335856402,30,0.04193506676610066,71,80,75.5
extreme,adaptive_probdpp,8,0.33547949154487605,0.16878330201202912,30,0.060398328936901016,81,90,85.5
extreme,adaptive_probdpp,9,0.14115914936799673,0.07594577540377966,30,0.027176846699435805,91,100,95.5
extreme,adaptive_probdpp,10,0.34952135195058104,0.10344184258685385,30,0.03701618797548269,101,110,105.5
extreme,adaptive_probdpp,11,0.08206496590929015,0.0678723146041646,30,0.024287795856008335,111,120,115.5
extreme,adaptive_probdpp,12,0.15077363568754976,0.08396987898415272,30,0.030048235288791622,121,130,125.5
extreme,adaptive_probdpp,13,0.2592215654705289,0.0761028051733931,30,0.027233039080820327,131,140,135.5
extreme,adaptive_probdpp,14,0.11120975265468336,0.048933861071297775,30,0.017510757295921487,141,150,145.5
extreme,adaptive_probdpp,15,0.15016978228059685,0.08616029522605011,30,0.030832065674320046,151,160,155.5
extreme,adaptive_probdpp,16,0.1592851560229565,0.022248387596901526,30,0.007961483253228199,161,170,165.5
extreme,adaptive_probdpp,17,0.16258547204408472,0.03681699874362094,30,0.013174793798193423,171,180,175.5
extreme,adaptive_probdpp,18,0.15570763704570031,0.0900960496425262,30,0.032240457304460346,181,190,185.5
extreme,adaptive_probdpp,19,0.1217766109944741,0.07552291668837685,30,0.027025528651487475,191,200,195.5
extreme,adaptive_probdpp,20,0.19648805367776226,0.0868224585705407,30,0.03106901778400002,201,210,205.5
extreme,adaptive_probdpp,21,0.13220184178620448,0.05920028428492957,30,0.021184549660868687,211,220,215.5
extreme,adaptive_probdpp,22,0.09179913741669658,0.08415355991780786,30,0.030113964666746023,221,230,225.5
extreme,adaptive_probdpp,23,0.22556856069946965,0.03757848096089864,30,0.01344728671005423,231,240,235.5
extreme,adaptive_probdpp,24,0.03602540181129808,0.007417991666658677,30,0.0026544942265800094,241,250,245.5
extreme,adaptive_probdpp,25,0.08460174564053352,0.037974432408694615,30,0.013588976115948889,251,260,255.5
extreme,adaptive_probdpp,26,0.11063467016292552,0.06671415557734219,30,0.023873353970884675,261,270,265.5
extreme,adaptive_probdpp,27,0.07701503322998415,0.019489045696657922,30,0.006974065435508239,271,280,275.5
extreme,adaptive_probdpp,28,0.21680814208326066,0.04299470714975921,30,0.015385458360044485,281,290,285.5
extreme,adaptive_probdpp,29,0.02132381058851062,0.016861004897905558,30,0.006033633113528137,291,300,295.5
extreme,adaptive_probdpp,30,2.875432634314241,0.16343169729488935,30,0.05848328178358106,301,310,305.5
extreme,adaptive_probdpp,31,2.726492957640533,0.11433513589223308,30,0.04091430292181515,311,320,315.5
extreme,adaptive_probdpp,32,2.4944308294365567,0.07991837189741388,30,0.028598422097569676,321,330,325.5
extreme,adaptive_probdpp,33,2.104003177278273,0.13990773096888953,30,0.05006533854440294,331,340,335.5
extreme,adaptive_probdpp,34,2.035499053039381,0.1474233252045296,30,0.05275475940173464,341,350,345.5
extreme,adaptive_probdpp,35,2.1575800070801194,0.1963330428965664,30,0.07025687710034483,351,360,355.5
extreme,adaptive_probdpp,36,1.8264918726034183,0.19691315860226372,30,0.07046446883955416,361,370,365.5
extreme,adaptive_probdpp,37,1.3016405224828376,0.2801620023327734,30,0.10025468497653697,371,380,375.5
extreme,adaptive_probdpp,38,1.1753826150782287,0.30412829269680414,30,0.10883091183990788,381,390,385.5
extreme,adaptive_probdpp,39,0.7813557661712953,0.2889027478086553,30,0.10338252057468413,391,400,395.5
extreme,adaptive_probdpp,40,0.7395136174787056,0.1667749969070544,30,0.0596796661847807,401,410,405.5
extreme,adaptive_probdpp,41,0.6710328062253176,0.2131852127717434,30,0.07628734864159324,411,420,415.5
extreme,adaptive_probdpp,42,0.40644412309201833,0.2280937839974771,30,0.08162231233845767,421,430,425.5
extreme,adaptive_probdpp,43,0.4670921386537251,0.23427899430167087,30,0.08383566142005094,431,440,435.5
extreme,adaptive_probdpp,44,0.5146457401762765,0.16378560402344902,30,0.05860992567992459,441,450,445.5
extreme,adaptive_probdpp,45,0.416209337604907,0.20173835535841958,30,0.0721911433232824,451,460,455.5
extreme,adaptive_probdpp,46,0.26597459250184735,0.1366037725888706,30,0.048883032222323805,461,470,465.5
extreme,adaptive_probdpp,47,0.2557732353671106,0.12319740888677225,30,0.044085626584002086,471,480,475.5
extreme,adaptive_probdpp,48,0.3500582103057521,0.13474676734643426,30,0.04821851143067448,481,490,485.5
extreme,adaptive_probdpp,49,0.24616592175085444,0.07512977541154715,30,0.026884844852358217,491,500,495.5
extreme,adaptive_probdpp,50,0.29999066060520324,0.10712714414916168,30,0.03833495620278091,501,510,505.5
extreme,adaptive_probdpp,51,0.20962422021484456,0.10560737949290447,30,0.03779111540501788,511,520,515.5
extreme,adaptive_probdpp,52,0.13603992161494602,0.06383546924903559,30,0.022843229298061117,521,530,525.5
extreme,adaptive_probdpp,53,0.18841545307190585,0.10270376953612755,30,0.036752071926289306,531,540,535.5
extreme,adaptive_probdpp,54,0.24836656310722766,0.09564413880418803,30,0.03422581551325652,541,550,545.5
extreme,adaptive_probdpp,55,0.2049094675075074,0.1013159909920351,30,0.03625546175218752,551,560,555.5
extreme,adaptive_probdpp,56,0.25851335990884633,0.06488256795323755,30,0.023217928757142,561,570,565.5
extreme,adaptive_probdpp,57,0.18619510558630925,0.07765450347815198,30,0.027788307187940182,571,580,575.5
extreme,adaptive_probdpp,58,0.2054303879760945,0.08488774246947983,30,0.03037668851873262,581,590,585.5
extreme,adaptive_probdpp,59,0.23857232962358738,0.08007929192950393,30,0.028656006591502723,591,600,595.5
extreme,online_probdpp,0,1.09488465319908,0.16408454375802362,30,0.05871689989008585,1,10,5.5
extreme,online_probdpp,1,0.7712522676286895,0.20589830127279718,30,0.0736797608506157,11,20,15.5
extreme,online_probdpp,2,0.7690460876722861,0.14465711621936986,30,0.05176488422923693,21,30,25.5
extreme,online_probdpp,3,0.5503309351487722,0.12595254132669112,30,0.04507153806569052,31,40,35.5
extreme,online_probdpp,4,0.4785675702441929,0.11300279606952184,30,0.04043753123937638,41,50,45.5
extreme,online_probdpp,5,0.4697859761175599,0.13347570323385988,30,0.047763666979499526,51,60,55.5
extreme,online_probdpp,6,0.29298871504570123,0.1173079034543479,30,0.0419780941317819,61,70,65.5
extreme,online_probdpp,7,0.3228102902273502,0.11718766335856402,30,0.04193506676610066,71,80,75.5
extreme,online_probdpp,8,0.33547949154487605,0.16878330201202912,30,0.060398328936901016,81,90,85.5
extreme,online_probdpp,9,0.14115914936799673,0.07594577540377966,30,0.027176846699435805,91,100,95.5
extreme,online_probdpp,10,0.35078696650227525,0.10172277653090875,30,0.03640102808778341,101,110,105.5
extreme,online_probdpp,11,0.08492364866112703,0.06684648076704135,30,0.023920705931883272,111,120,115.5
